Target distance: 78, Step size: 1
1271: (x,y) = (-6.3607, 7.69307)
1272: (x,y) = (-5.43361, 7.31823)
1273: (x,y) = (-4.58439, 6.79019)
1274: (x,y) = (-5.21349, 7.56751)
1275: (x,y) = (-6.07821, 8.06978)
1276: (x,y) = (-6.39997, 7.12296)
1277: (x,y) = (-5.58908, 6.53777)
1278: (x,y) = (-4.63238, 6.24669)
1279: (x,y) = (-5.07593, 7.14294)
1280: (x,y) = (-6.00673, 7.50847)
1281: (x,y) = (-5.27989, 8.19527)
1282: (x,y) = (-6.02326, 8.86415)
1283: (x,y) = (-6.79837, 9.49598)
1284: (x,y) = (-7.63446, 10.0446)
1285: (x,y) = (-8.57916, 9.71665)
1286: (x,y) = (-7.73456, 10.252)
1287: (x,y) = (-8.06453, 11.196)
1288: (x,y) = (-8.98998, 11.5749)
1289: (x,y) = (-9.11942, 12.5665)
1290: (x,y) = (-9.96935, 12.0396)
1291: (x,y) = (-10.9329, 12.3072)
1292: (x,y) = (-11.5774, 13.0718)
1293: (x,y) = (-10.9406, 12.3008)
1294: (x,y) = (-11.8464, 11.8773)
1295: (x,y) = (-10.8648, 11.6864)
1296: (x,y) = (-10.3819, 12.562)
1297: (x,y) = (-9.64527, 11.8857)
1298: (x,y) = (-9.21072, 10.9851)
1299: (x,y) = (-10.0607, 10.4582)
1300: (x,y) = (-9.38276, 11.1933)
1301: (x,y) = (-8.66983, 10.4921)
1302: (x,y) = (-7.9011, 9.85253)
1303: (x,y) = (-8.58218, 10.5847)
1304: (x,y) = (-8.17887, 9.66968)
1305: (x,y) = (-9.06964, 9.21523)
1306: (x,y) = (-8.84848, 8.23999)
1307: (x,y) = (-8.4636, 7.31702)
1308: (x,y) = (-9.4633, 7.29264)
1309: (x,y) = (-9.32393, 6.3024)
1310: (x,y) = (-8.841, 7.17805)
1311: (x,y) = (-7.89033, 6.86786)
1312: (x,y) = (-7.53212, 7.8015)
1313: (x,y) = (-7.08468, 6.90719)
1314: (x,y) = (-7.57637, 6.03641)
1315: (x,y) = (-6.77396, 5.43963)
1316: (x,y) = (-7.2226, 4.54592)
1317: (x,y) = (-6.28618, 4.89679)
1318: (x,y) = (-6.16105, 5.88893)
1319: (x,y) = (-5.53532, 6.66897)
1320: (x,y) = (-6.1532, 7.45524)
1321: (x,y) = (-5.4363, 8.15242)
1322: (x,y) = (-4.63389, 7.55564)
1323: (x,y) = (-3.63921, 7.65869)
1324: (x,y) = (-2.64158, 7.72747)
1325: (x,y) = (-3.62755, 7.8944)
1326: (x,y) = (-2.6315, 7.80565)
1327: (x,y) = (-3.58523, 8.1063)
1328: (x,y) = (-4.3286, 8.77517)
1329: (x,y) = (-3.54367, 9.39475)
1330: (x,y) = (-4.23929, 10.1132)
1331: (x,y) = (-4.01812, 9.13793)
1332: (x,y) = (-3.02344, 9.24099)
1333: (x,y) = (-3.27384, 10.2091)
1334: (x,y) = (-2.89698, 11.1354)
1335: (x,y) = (-2.21909, 11.8706)
1336: (x,y) = (-1.73616, 12.7462)
1337: (x,y) = (-2.05254, 13.6949)
1338: (x,y) = (-1.10187, 13.3847)
1339: (x,y) = (-1.5633, 12.4975)
1340: (x,y) = (-2.25892, 13.2159)
1341: (x,y) = (-3.13076, 13.7057)
1342: (x,y) = (-2.24723, 13.2373)
1343: (x,y) = (-3.16715, 12.8452)
1344: (x,y) = (-4.07303, 12.4217)
1345: (x,y) = (-3.3043, 11.7821)
1346: (x,y) = (-4.28394, 11.9829)
1347: (x,y) = (-5.24509, 11.7068)
1348: (x,y) = (-4.2575, 11.5498)
1349: (x,y) = (-3.2577, 11.5297)
1350: (x,y) = (-2.26165, 11.441)
1351: (x,y) = (-2.92141, 10.6895)
1352: (x,y) = (-2.32289, 11.4906)
1353: (x,y) = (-1.55416, 10.851)
1354: (x,y) = (-2.13296, 10.0356)
1355: (x,y) = (-3.05064, 10.4329)
1356: (x,y) = (-3.41818, 9.50292)
1357: (x,y) = (-2.48377, 9.14674)
1358: (x,y) = (-1.62413, 8.63583)
1359: (x,y) = (-2.31975, 9.35424)
1360: (x,y) = (-1.43358, 9.8176)
1361: (x,y) = (-2.29099, 9.30296)
1362: (x,y) = (-3.2545, 9.57062)
1363: (x,y) = (-3.90998, 10.3258)
1364: (x,y) = (-3.48841, 11.2326)
1365: (x,y) = (-3.94984, 10.3455)
1366: (x,y) = (-3.64299, 9.3937)
1367: (x,y) = (-4.23345, 10.2008)
1368: (x,y) = (-4.41666, 11.1838)
1369: (x,y) = (-3.53049, 11.6472)
1370: (x,y) = (-3.97405, 12.5434)
1371: (x,y) = (-4.55285, 11.728)
1372: (x,y) = (-4.27893, 10.7662)
1373: (x,y) = (-5.23001, 10.4573)
1374: (x,y) = (-5.05107, 11.4412)
1375: (x,y) = (-5.70654, 12.1964)
1376: (x,y) = (-6.68618, 12.3971)
1377: (x,y) = (-5.69151, 12.5002)
1378: (x,y) = (-5.60059, 13.4961)
1379: (x,y) = (-5.61847, 12.4962)
1380: (x,y) = (-5.99933, 13.4209)
1381: (x,y) = (-5.82039, 14.4047)
1382: (x,y) = (-6.23801, 13.4961)
1383: (x,y) = (-6.32461, 12.4998)
1384: (x,y) = (-7.25006, 12.8787)
1385: (x,y) = (-7.89462, 13.6433)
1386: (x,y) = (-7.58237, 14.5933)
1387: (x,y) = (-8.47957, 15.0349)
1388: (x,y) = (-9.27938, 14.4346)
1389: (x,y) = (-10.1339, 14.9541)
1390: (x,y) = (-9.827, 14.0024)
1391: (x,y) = (-8.86622, 13.7251)
1392: (x,y) = (-7.88746, 13.9301)
1393: (x,y) = (-8.13785, 14.8982)
1394: (x,y) = (-8.71201, 15.717)
1395: (x,y) = (-8.4853, 16.6909)
1396: (x,y) = (-8.56623, 17.6876)
1397: (x,y) = (-9.50906, 18.0209)
1398: (x,y) = (-9.00117, 17.1595)
1399: (x,y) = (-9.96619, 16.8973)
1400: (x,y) = (-10.9561, 16.7558)
1401: (x,y) = (-10.566, 17.6766)
1402: (x,y) = (-11.566, 17.6866)
1403: (x,y) = (-12.1283, 18.5135)
1404: (x,y) = (-11.1526, 18.7326)
1405: (x,y) = (-11.3414, 17.7505)
1406: (x,y) = (-10.3426, 17.7993)
1407: (x,y) = (-11.316, 17.5705)
1408: (x,y) = (-10.3403, 17.7895)
1409: (x,y) = (-10.2981, 18.7886)
1410: (x,y) = (-11.1656, 18.2913)
1411: (x,y) = (-11.7398, 19.11)
1412: (x,y) = (-11.6203, 18.1172)
1413: (x,y) = (-11.8846, 19.0816)
1414: (x,y) = (-12.7315, 19.6134)
1415: (x,y) = (-12.6406, 20.6092)
1416: (x,y) = (-11.6839, 20.3181)
1417: (x,y) = (-12.4535, 19.6796)
1418: (x,y) = (-12.9452, 18.8088)
1419: (x,y) = (-13.8727, 18.4352)
1420: (x,y) = (-14.4906, 19.2215)
1421: (x,y) = (-14.3854, 18.2271)
1422: (x,y) = (-15.3466, 17.9511)
1423: (x,y) = (-15.8849, 17.1083)
1424: (x,y) = (-16.5028, 17.8946)
1425: (x,y) = (-16.3097, 18.8758)
1426: (x,y) = (-15.8394, 19.7583)
1427: (x,y) = (-16.5493, 19.054)
1428: (x,y) = (-17.0284, 18.1762)
1429: (x,y) = (-16.0527, 18.3953)
1430: (x,y) = (-17.0294, 18.6101)
1431: (x,y) = (-16.8504, 19.594)
1432: (x,y) = (-17.8423, 19.4667)
1433: (x,y) = (-16.8678, 19.2421)
1434: (x,y) = (-16.1795, 18.5167)
1435: (x,y) = (-17.1071, 18.1431)
1436: (x,y) = (-16.1094, 18.2119)
1437: (x,y) = (-15.3865, 17.521)
1438: (x,y) = (-16.1829, 18.1258)
1439: (x,y) = (-16.7452, 18.9527)
1440: (x,y) = (-17.7048, 19.2342)
1441: (x,y) = (-16.706, 19.2829)
1442: (x,y) = (-15.7062, 19.2629)
1443: (x,y) = (-15.7184, 20.2628)
1444: (x,y) = (-16.1925, 21.1432)
1445: (x,y) = (-17.0286, 21.6918)
1446: (x,y) = (-16.9777, 20.6931)
1447: (x,y) = (-17.175, 21.6735)
1448: (x,y) = (-17.7654, 22.4805)
1449: (x,y) = (-18.725, 22.762)
1450: (x,y) = (-18.0366, 22.0367)
1451: (x,y) = (-18.3064, 21.0737)
1452: (x,y) = (-19.2933, 20.9124)
1453: (x,y) = (-19.5158, 19.9375)
1454: (x,y) = (-20.3034, 20.5536)
1455: (x,y) = (-19.5667, 19.8773)
1456: (x,y) = (-18.6397, 19.5025)
1457: (x,y) = (-17.9766, 18.7539)
1458: (x,y) = (-17.6372, 17.8133)
1459: (x,y) = (-18.2861, 17.0524)
1460: (x,y) = (-17.4752, 16.4672)
1461: (x,y) = (-18.366, 16.0127)
1462: (x,y) = (-17.9759, 16.9335)
1463: (x,y) = (-18.1647, 15.9515)
1464: (x,y) = (-19.1348, 15.7087)
1465: (x,y) = (-18.1983, 16.0596)
1466: (x,y) = (-18.977, 15.4322)
1467: (x,y) = (-18.3671, 14.6397)
1468: (x,y) = (-18.4822, 15.6331)
1469: (x,y) = (-17.5035, 15.8381)
1470: (x,y) = (-17.1912, 16.7881)
1471: (x,y) = (-17.3603, 15.8025)
1472: (x,y) = (-17.8938, 16.6482)
1473: (x,y) = (-17.7347, 17.6355)
1474: (x,y) = (-17.8839, 18.6243)
1475: (x,y) = (-18.3756, 17.7535)
1476: (x,y) = (-17.454, 17.3654)
1477: (x,y) = (-16.5248, 17.735)
1478: (x,y) = (-16.5514, 18.7346)
1479: (x,y) = (-16.7823, 19.7076)
1480: (x,y) = (-16.5277, 18.7405)
1481: (x,y) = (-17.4159, 19.2)
1482: (x,y) = (-16.4253, 19.3372)
1483: (x,y) = (-16.9877, 20.1642)
1484: (x,y) = (-16.5174, 21.0467)
1485: (x,y) = (-16.9035, 20.1242)
1486: (x,y) = (-16.7585, 21.1136)
1487: (x,y) = (-17.684, 21.4925)
1488: (x,y) = (-17.09, 20.688)
1489: (x,y) = (-17.6065, 21.5443)
1490: (x,y) = (-18.3124, 22.2526)
1491: (x,y) = (-17.4329, 22.7287)
1492: (x,y) = (-16.5837, 22.2006)
1493: (x,y) = (-17.5113, 21.827)
1494: (x,y) = (-17.046, 20.9419)
1495: (x,y) = (-18.0372, 21.0748)
1496: (x,y) = (-17.1536, 20.6064)
1497: (x,y) = (-17.2202, 19.6086)
1498: (x,y) = (-17.8648, 20.3732)
1499: (x,y) = (-17.6717, 21.3544)
1500: (x,y) = (-17.5324, 20.3641)
1501: (x,y) = (-16.8694, 19.6155)
1502: (x,y) = (-16.8128, 20.6139)
1503: (x,y) = (-17.6775, 21.1162)
1504: (x,y) = (-18.4434, 21.7591)
1505: (x,y) = (-19.4391, 21.666)
1506: (x,y) = (-20.1824, 22.3349)
1507: (x,y) = (-20.6388, 23.2247)
1508: (x,y) = (-20.0729, 22.4002)
1509: (x,y) = (-20.7218, 21.6393)
1510: (x,y) = (-21.3553, 20.8656)
1511: (x,y) = (-21.8644, 20.0049)
1512: (x,y) = (-22.652, 20.621)
1513: (x,y) = (-21.7383, 20.2145)
1514: (x,y) = (-20.7672, 20.4531)
1515: (x,y) = (-20.1042, 19.7045)
1516: (x,y) = (-19.1581, 19.3807)
1517: (x,y) = (-20.064, 18.9571)
1518: (x,y) = (-20.8638, 18.3569)
1519: (x,y) = (-20.3985, 17.4717)
1520: (x,y) = (-19.5679, 16.9148)
1521: (x,y) = (-18.5685, 16.9492)
1522: (x,y) = (-17.738, 16.3922)
1523: (x,y) = (-17.1721, 15.5678)
1524: (x,y) = (-18.0862, 15.1625)
1525: (x,y) = (-17.1703, 15.5638)
1526: (x,y) = (-17.7491, 14.7483)
1527: (x,y) = (-17.3458, 13.8333)
1528: (x,y) = (-17.0064, 12.8926)
1529: (x,y) = (-17.4188, 13.8036)
1530: (x,y) = (-16.4431, 14.0227)
1531: (x,y) = (-15.7302, 13.3214)
1532: (x,y) = (-15.3217, 14.2342)
1533: (x,y) = (-16.2125, 13.7797)
1534: (x,y) = (-16.4767, 14.7442)
1535: (x,y) = (-15.7884, 14.0188)
1536: (x,y) = (-14.9438, 14.5542)
1537: (x,y) = (-15.3614, 13.6456)
1538: (x,y) = (-15.2363, 14.6377)
1539: (x,y) = (-14.2547, 14.4468)
1540: (x,y) = (-14.8612, 13.6517)
1541: (x,y) = (-14.1728, 12.9264)
1542: (x,y) = (-13.2592, 12.5199)
1543: (x,y) = (-13.7927, 13.3656)
1544: (x,y) = (-13.1405, 14.1237)
1545: (x,y) = (-12.1411, 14.1581)
1546: (x,y) = (-13.1408, 14.1337)
1547: (x,y) = (-12.2783, 14.6397)
1548: (x,y) = (-13.1691, 14.1853)
1549: (x,y) = (-12.3841, 14.8048)
1550: (x,y) = (-12.1714, 15.782)
1551: (x,y) = (-11.9839, 14.7997)
1552: (x,y) = (-11.2208, 15.4459)
1553: (x,y) = (-10.6338, 16.2555)
1554: (x,y) = (-11.2009, 15.4318)
1555: (x,y) = (-10.2032, 15.5006)
1556: (x,y) = (-11.1989, 15.4075)
1557: (x,y) = (-11.99, 14.7959)
1558: (x,y) = (-11.5247, 13.9107)
1559: (x,y) = (-11.9502, 14.8156)
1560: (x,y) = (-11.0667, 14.3473)
1561: (x,y) = (-10.393, 13.6083)
1562: (x,y) = (-11.393, 13.6039)
1563: (x,y) = (-12.3049, 14.0144)
1564: (x,y) = (-13.2883, 14.1955)
1565: (x,y) = (-12.8538, 13.2948)
1566: (x,y) = (-13.216, 14.2269)
1567: (x,y) = (-12.553, 13.4783)
1568: (x,y) = (-12.2325, 12.531)
1569: (x,y) = (-11.7075, 11.68)
1570: (x,y) = (-11.0402, 12.4248)
1571: (x,y) = (-11.0237, 11.4249)
1572: (x,y) = (-11.2796, 10.4582)
1573: (x,y) = (-10.4539, 11.0224)
1574: (x,y) = (-11.229, 11.6542)
1575: (x,y) = (-10.6631, 10.8297)
1576: (x,y) = (-9.85729, 11.4219)
1577: (x,y) = (-9.04639, 10.8368)
1578: (x,y) = (-9.12732, 11.8335)
1579: (x,y) = (-8.13973, 11.6764)
1580: (x,y) = (-7.16402, 11.8955)
1581: (x,y) = (-8.15515, 12.0284)
1582: (x,y) = (-7.94801, 11.0501)
1583: (x,y) = (-8.90174, 11.3507)
1584: (x,y) = (-8.00263, 10.913)
1585: (x,y) = (-8.08922, 9.91678)
1586: (x,y) = (-9.06138, 10.1511)
1587: (x,y) = (-10.0505, 10.2983)
1588: (x,y) = (-10.5119, 9.4111)
1589: (x,y) = (-10.9244, 10.3221)
1590: (x,y) = (-10.6367, 9.36436)
1591: (x,y) = (-9.84639, 8.75161)
1592: (x,y) = (-10.8415, 8.85035)
1593: (x,y) = (-11.2979, 9.74014)
1594: (x,y) = (-11.9424, 10.5047)
1595: (x,y) = (-12.0034, 11.5028)
1596: (x,y) = (-12.9571, 11.8035)
1597: (x,y) = (-11.9755, 11.6125)
1598: (x,y) = (-11.4049, 12.4338)
1599: (x,y) = (-12.2795, 11.9489)
1600: (x,y) = (-11.4946, 12.5685)
1601: (x,y) = (-12.352, 12.0539)
1602: (x,y) = (-13.0267, 11.3158)
1603: (x,y) = (-12.4727, 10.4833)
1604: (x,y) = (-12.8903, 9.57467)
1605: (x,y) = (-11.9539, 9.92554)
1606: (x,y) = (-10.9633, 10.0628)
1607: (x,y) = (-10.2133, 10.7241)
1608: (x,y) = (-9.21723, 10.6354)
1609: (x,y) = (-10.1571, 10.2939)
1610: (x,y) = (-10.9231, 10.9368)
1611: (x,y) = (-11.3486, 11.8418)
1612: (x,y) = (-10.4248, 12.2247)
1613: (x,y) = (-11.4139, 12.3718)
1614: (x,y) = (-11.107, 11.42)
1615: (x,y) = (-10.1139, 11.5374)
1616: (x,y) = (-10.0573, 12.5358)
1617: (x,y) = (-10.3077, 13.5039)
1618: (x,y) = (-10.0338, 12.5422)
1619: (x,y) = (-9.8071, 13.5161)
1620: (x,y) = (-9.06083, 12.8505)
1621: (x,y) = (-9.77071, 12.1462)
1622: (x,y) = (-9.14498, 12.9262)
1623: (x,y) = (-9.94136, 13.531)
1624: (x,y) = (-9.93351, 14.531)
1625: (x,y) = (-9.77993, 13.5428)
1626: (x,y) = (-8.81915, 13.2655)
1627: (x,y) = (-7.83392, 13.4367)
1628: (x,y) = (-6.93233, 13.8693)
1629: (x,y) = (-7.76842, 14.4179)
1630: (x,y) = (-8.52505, 13.7641)
1631: (x,y) = (-8.08539, 14.6623)
1632: (x,y) = (-7.09485, 14.7995)
1633: (x,y) = (-8.05601, 14.5235)
1634: (x,y) = (-8.4815, 15.4284)
1635: (x,y) = (-7.48269, 15.4772)
1636: (x,y) = (-8.16792, 14.7488)
1637: (x,y) = (-8.71357, 15.5869)
1638: (x,y) = (-7.99667, 16.284)
1639: (x,y) = (-7.13703, 15.7731)
1640: (x,y) = (-6.97784, 16.7604)
1641: (x,y) = (-6.60626, 15.832)
1642: (x,y) = (-6.72144, 16.8253)
1643: (x,y) = (-7.57885, 16.3107)
1644: (x,y) = (-7.80978, 17.2836)
1645: (x,y) = (-6.8997, 17.6981)
1646: (x,y) = (-6.05815, 17.1579)
1647: (x,y) = (-5.56269, 16.2893)
1648: (x,y) = (-6.08404, 15.4359)
1649: (x,y) = (-6.37304, 14.4786)
1650: (x,y) = (-5.4147, 14.7642)
1651: (x,y) = (-4.84878, 13.9398)
1652: (x,y) = (-5.54847, 13.2253)
1653: (x,y) = (-5.17162, 14.1516)
1654: (x,y) = (-5.30105, 15.1432)
1655: (x,y) = (-5.04097, 16.1088)
1656: (x,y) = (-4.04245, 16.0543)
1657: (x,y) = (-4.97531, 15.6941)
1658: (x,y) = (-4.88439, 16.69)
1659: (x,y) = (-3.96059, 17.0728)
1660: (x,y) = (-2.98302, 16.8623)
1661: (x,y) = (-2.3845, 17.6634)
1662: (x,y) = (-2.49967, 18.6567)
1663: (x,y) = (-1.50913, 18.7939)
1664: (x,y) = (-1.8309, 17.8471)
1665: (x,y) = (-2.6622, 17.2913)
1666: (x,y) = (-1.67952, 17.4766)
1667: (x,y) = (-2.37921, 16.7622)
1668: (x,y) = (-2.46014, 17.7589)
1669: (x,y) = (-3.41388, 18.0596)
1670: (x,y) = (-4.30465, 17.6051)
1671: (x,y) = (-4.21939, 16.6088)
1672: (x,y) = (-4.46978, 17.5769)
1673: (x,y) = (-3.91576, 16.7444)
1674: (x,y) = (-4.63568, 17.4384)
1675: (x,y) = (-5.50324, 16.9411)
1676: (x,y) = (-5.25705, 17.9103)
1677: (x,y) = (-5.48798, 18.8833)
1678: (x,y) = (-5.71046, 17.9084)
1679: (x,y) = (-5.24016, 18.7909)
1680: (x,y) = (-4.25169, 18.9423)
1681: (x,y) = (-4.01102, 17.9717)
1682: (x,y) = (-3.05268, 18.2573)
1683: (x,y) = (-3.48331, 17.3548)
1684: (x,y) = (-2.48568, 17.4236)
1685: (x,y) = (-3.20954, 16.7336)
1686: (x,y) = (-2.45007, 16.0831)
1687: (x,y) = (-2.76645, 17.0317)
1688: (x,y) = (-2.50637, 17.9973)
1689: (x,y) = (-3.40357, 18.4389)
1690: (x,y) = (-3.89526, 17.5681)
1691: (x,y) = (-3.60211, 18.5242)
1692: (x,y) = (-3.03618, 17.6997)
1693: (x,y) = (-2.94527, 18.6956)
1694: (x,y) = (-3.94481, 18.7257)
1695: (x,y) = (-3.25643, 18.0003)
1696: (x,y) = (-2.77849, 17.1219)
1697: (x,y) = (-3.72319, 16.794)
1698: (x,y) = (-4.70396, 16.5988)
1699: (x,y) = (-5.50034, 17.2036)
1700: (x,y) = (-5.83031, 18.1476)
1701: (x,y) = (-5.04538, 18.7672)
1702: (x,y) = (-4.66853, 19.6934)
1703: (x,y) = (-5.48021, 19.1093)
1704: (x,y) = (-5.47236, 20.1093)
1705: (x,y) = (-6.38655, 19.704)
1706: (x,y) = (-7.38482, 19.6453)
1707: (x,y) = (-8.38171, 19.724)
1708: (x,y) = (-7.99159, 20.6448)
1709: (x,y) = (-8.00379, 21.6447)
1710: (x,y) = (-7.02933, 21.4201)
1711: (x,y) = (-6.78315, 22.3893)
1712: (x,y) = (-5.81555, 22.6418)
1713: (x,y) = (-4.84442, 22.8804)
1714: (x,y) = (-4.46757, 23.8067)
1715: (x,y) = (-5.05803, 24.6137)
1716: (x,y) = (-4.09188, 24.3558)
1717: (x,y) = (-4.82169, 25.0394)
1718: (x,y) = (-3.92258, 24.6017)
1719: (x,y) = (-4.89923, 24.8165)
1720: (x,y) = (-4.54634, 23.8808)
1721: (x,y) = (-5.25622, 23.1765)
1722: (x,y) = (-5.71765, 22.2893)
1723: (x,y) = (-4.72524, 22.1664)
1724: (x,y) = (-4.08837, 21.3954)
1725: (x,y) = (-3.7625, 22.3408)
1726: (x,y) = (-3.14122, 21.5572)
1727: (x,y) = (-2.15068, 21.6944)
1728: (x,y) = (-1.20931, 22.0318)
1729: (x,y) = (-2.07402, 22.5341)
1730: (x,y) = (-2.27691, 21.5549)
1731: (x,y) = (-2.90602, 22.3322)
1732: (x,y) = (-3.89595, 22.1907)
1733: (x,y) = (-3.61657, 23.1509)
1734: (x,y) = (-3.8335, 24.127)
1735: (x,y) = (-3.01929, 24.7076)
1736: (x,y) = (-2.71244, 23.7559)
1737: (x,y) = (-2.43851, 22.7941)
1738: (x,y) = (-1.81723, 22.0105)
1739: (x,y) = (-0.821174, 21.9218)
1740: (x,y) = (-1.38351, 22.7487)
1741: (x,y) = (-0.801176, 21.9357)
1742: (x,y) = (-1.80072, 21.9658)
1743: (x,y) = (-2.16827, 21.0358)
1744: (x,y) = (-1.81006, 21.9694)
1745: (x,y) = (-2.01295, 20.9902)
1746: (x,y) = (-2.54651, 21.836)
1747: (x,y) = (-1.95956, 22.6456)
1748: (x,y) = (-2.75594, 23.2504)
1749: (x,y) = (-3.0395, 24.2094)
1750: (x,y) = (-3.76335, 23.5194)
1751: (x,y) = (-3.65249, 24.5132)
1752: (x,y) = (-3.45943, 25.4944)
1753: (x,y) = (-4.29072, 24.9386)
1754: (x,y) = (-5.28805, 24.8655)
1755: (x,y) = (-6.03142, 25.5344)
1756: (x,y) = (-5.18682, 26.0698)
1757: (x,y) = (-5.9832, 26.6746)
1758: (x,y) = (-6.81133, 27.2351)
1759: (x,y) = (-7.74927, 27.5819)
1760: (x,y) = (-7.36439, 26.6589)
1761: (x,y) = (-8.24587, 27.1312)
1762: (x,y) = (-7.46094, 27.7507)
1763: (x,y) = (-7.98229, 26.8974)
1764: (x,y) = (-8.68198, 26.1829)
1765: (x,y) = (-9.45708, 26.8148)
1766: (x,y) = (-8.52788, 27.1843)
1767: (x,y) = (-8.68278, 26.1964)
1768: (x,y) = (-9.6807, 26.2609)
1769: (x,y) = (-8.79718, 25.7925)
1770: (x,y) = (-7.83484, 26.0643)
1771: (x,y) = (-7.32695, 25.2029)
1772: (x,y) = (-7.0201, 24.2511)
1773: (x,y) = (-7.99018, 24.0083)
1774: (x,y) = (-7.54274, 23.114)
1775: (x,y) = (-7.79313, 24.0822)
1776: (x,y) = (-8.73303, 23.7407)
1777: (x,y) = (-8.40716, 24.6861)
1778: (x,y) = (-9.34998, 25.0194)
1779: (x,y) = (-8.35757, 24.8964)
1780: (x,y) = (-9.35658, 24.9409)
1781: (x,y) = (-10.1442, 25.557)
1782: (x,y) = (-11.1415, 25.4839)
1783: (x,y) = (-11.3444, 24.5047)
1784: (x,y) = (-11.5753, 25.4777)
1785: (x,y) = (-10.6389, 25.8286)
1786: (x,y) = (-11.4473, 26.4173)
1787: (x,y) = (-11.8959, 25.5236)
1788: (x,y) = (-11.8794, 24.5237)
1789: (x,y) = (-11.0856, 25.1319)
1790: (x,y) = (-10.515, 25.9532)
1791: (x,y) = (-9.71262, 25.3564)
1792: (x,y) = (-10.6995, 25.1951)
1793: (x,y) = (-10.7605, 26.1932)
1794: (x,y) = (-10.1236, 25.4222)
1795: (x,y) = (-9.70202, 26.329)
1796: (x,y) = (-8.75134, 26.0188)
1797: (x,y) = (-7.85861, 25.5682)
1798: (x,y) = (-7.57922, 26.5284)
1799: (x,y) = (-7.47401, 25.534)
1800: (x,y) = (-6.76108, 24.8327)
1801: (x,y) = (-6.75322, 25.8327)
1802: (x,y) = (-5.92267, 25.2758)
1803: (x,y) = (-4.93508, 25.1187)
1804: (x,y) = (-4.20824, 25.8055)
1805: (x,y) = (-4.15732, 24.8068)
1806: (x,y) = (-4.28675, 25.7984)
1807: (x,y) = (-3.29916, 25.6414)
1808: (x,y) = (-2.33838, 25.364)
1809: (x,y) = (-1.37603, 25.6359)
1810: (x,y) = (-0.406278, 25.3918)
1811: (x,y) = (-0.389745, 24.3919)
1812: (x,y) = (-0.645635, 23.4252)
1813: (x,y) = (-0.338781, 22.4735)
1814: (x,y) = (-0.219294, 21.4806)
1815: (x,y) = (0.769173, 21.6321)
1816: (x,y) = (1.32792, 22.4614)
1817: (x,y) = (1.65379, 23.4068)
1818: (x,y) = (2.63902, 23.578)
1819: (x,y) = (3.57344, 23.2219)
1820: (x,y) = (3.25706, 24.1705)
1821: (x,y) = (3.67863, 25.0773)
1822: (x,y) = (4.21585, 24.2339)
1823: (x,y) = (4.68113, 23.3487)
1824: (x,y) = (4.61452, 22.3509)
1825: (x,y) = (5.59976, 22.5221)
1826: (x,y) = (5.25093, 23.4593)
1827: (x,y) = (6.24147, 23.5965)
1828: (x,y) = (7.19817, 23.3055)
1829: (x,y) = (6.20084, 23.2323)
1830: (x,y) = (6.44152, 22.2617)
1831: (x,y) = (7.13401, 22.9832)
1832: (x,y) = (7.96771, 23.5354)
1833: (x,y) = (8.95825, 23.6726)
1834: (x,y) = (9.61045, 24.4307)
1835: (x,y) = (9.83715, 25.4046)
1836: (x,y) = (10.0583, 24.4294)
1837: (x,y) = (9.78857, 23.4664)
1838: (x,y) = (8.79168, 23.5452)
1839: (x,y) = (9.70176, 23.9597)
1840: (x,y) = (9.70393, 22.9597)
1841: (x,y) = (9.68605, 21.9598)
1842: (x,y) = (10.2684, 21.1469)
1843: (x,y) = (9.2715, 21.2256)
1844: (x,y) = (8.39689, 20.7408)
1845: (x,y) = (7.79037, 19.9457)
1846: (x,y) = (8.16195, 19.0173)
1847: (x,y) = (8.07535, 18.0211)
1848: (x,y) = (8.62938, 17.1886)
1849: (x,y) = (9.15443, 16.3375)
1850: (x,y) = (10.1538, 16.3719)
1851: (x,y) = (10.7683, 17.1609)
1852: (x,y) = (10.3247, 18.0571)
1853: (x,y) = (10.9392, 18.8461)
1854: (x,y) = (10.8098, 19.8377)
1855: (x,y) = (10.1652, 20.6022)
1856: (x,y) = (10.6049, 21.5004)
1857: (x,y) = (11.3178, 20.7991)
1858: (x,y) = (10.7508, 19.9754)
1859: (x,y) = (9.8473, 20.4041)
1860: (x,y) = (8.96582, 20.8763)
1861: (x,y) = (7.9767, 21.0235)
1862: (x,y) = (7.13751, 20.4796)
1863: (x,y) = (7.35867, 19.5044)
1864: (x,y) = (6.35872, 19.5144)
1865: (x,y) = (7.34396, 19.6856)
1866: (x,y) = (7.04666, 20.6404)
1867: (x,y) = (6.17911, 20.1431)
1868: (x,y) = (6.07821, 19.1482)
1869: (x,y) = (6.29938, 18.173)
1870: (x,y) = (5.90005, 17.2562)
1871: (x,y) = (6.10718, 16.2778)
1872: (x,y) = (5.193, 15.8725)
1873: (x,y) = (4.21514, 15.6633)
1874: (x,y) = (3.30925, 15.2398)
1875: (x,y) = (2.36643, 15.573)
1876: (x,y) = (2.59314, 16.547)
1877: (x,y) = (1.86332, 17.2307)
1878: (x,y) = (0.865049, 17.1719)
1879: (x,y) = (0.247173, 17.9582)
1880: (x,y) = (-0.747046, 17.8508)
1881: (x,y) = (-1.73891, 17.7235)
1882: (x,y) = (-1.39949, 16.7829)
1883: (x,y) = (-0.758256, 17.5502)
